alim_nom_fr;Energie (kcal/100 g);Protéines (g/100 g);Glucides (g/100 g);Lipides (g/100 g);Fibres (g/100 g)
Rutabaga, cru;33.2;1.08;5.7;0.16;2.3
Champignon noir, séché;30.68;7.5;0;0.07;0
Haricot beurre, surgelé, cru;33.1;1.8;4.59;0.21;2.8
Brocoli, surgelé, cru;26.4;2.78;1.5;0.42;2.75
Chou de Bruxelles, surgelé, cru;45.2;3.78;4.69;0.41;3.8
Carotte, surgelée, crue;33.6;0.78;4.95;0.46;3.3
Concombre, chair sans peau, cru;11.1;0.56;2.23;0;0.8
Champignon, lentin comestible ou shiitaké, séché;316;9.58;63.9;0.99;11.5
Champignon, lentin comestible ou shiitaké, cuit;60.9;1.56;12.3;0.22;2.1
Petits pois et carottes, surgelés, crus;53;3.4;7.1;0.47;3.4
Pois mange-tout ou pois gourmand, bouilli/cuit à l'eau;30.9;2.25;3.39;0.3;2.8
Roquette, crue;27.9;2.58;2.1;0.66;1.6
Chou frisé, cru;49.5;4.28;4.2;0.93;3.6
Chou frisé, cuit;29.7;1.9;3.63;0.4;2
Chou chinois pé-tsaï, sauté/poêlé;18.9;1.06;2.77;0;1.6
Champignon de Paris ou champignon de couche, surgelé, cru;16.1;1.87;0.93;0.2;1.97
Courgette, chair et peau, surgelée, crue;16.5;1.08;2;0.13;1.48
Crosne, surgelé, cru;51.8;7.38;5.51;0.03;0
Artichaut, fond, surgelé, cru;54.5;1.89;7.02;0.42;7.54
Maïs doux, surgelé, cru;105;3.28;19.8;0.78;2.8
Navet, surgelé, cru;20.4;1.04;2.8;0.16;1.8
Oignon, surgelé, cru;30.3;0.89;5.22;0.06;2.65
Poireau, surgelé, cru;26.6;1.48;3.37;0.26;2.55
Salsifis, surgelé, cru;41.1;2.34;4.68;0.16;5.8
Oignon rouge, cru;35;1.31;5.63;0.4;2.5
Oignon jaune, cru;35.9;1.19;6.39;0;2.6
Piperade basquaise, préemballée;67.8;1.1;5.38;3.8;3.4
Cardon, cuit;22;0.76;3.63;0.11;1.7
Tomate, chair et peau, bouillie/cuite à l'eau;17.4;0.95;2.8;0.11;0.7
Pois mange-tout ou pois gourmands, cuits;47.3;3.5;5.92;0.38;3.1
Petit pot légumes, dès 4-6 mois;24;0.9;3.8;0;2.6
Petit pot légumes, avec féculent, dès 4/6 mois;41.7;1.3;6.45;0.8;1.75
Plat légumes, avec féculent, dès 6-8 mois;42.9;1.2;6.9;0.7;2.1
Plat légumes, avec féculent et lait/crème, dès 6/8 mois;70.2;2.38;9.12;2.3;1.5
Plat légumes, avec féculent et lait/crème, dès 8/12 mois;77.5;2.1;8.1;3.5;2.6
Plat légumes, avec féculent et lait/crème, dès 12 mois;71.6;2.88;8.53;2.3;2.4
Soupe pour bébé légumes et pomme de terre;38.1;1;5.88;0.91;1.4
Soupe pour bébé légumes, céréales et lait;59.5;1.5;7.19;2.5;0.9
Plat légumes, avec féculent et lait/crème, dès 18 mois;70.3;2.56;8.59;2.4;1.4
Échalote, cuite;69.3;2.13;13.5;0;3.4
Tomate, séchée, à l'huile;182.56;5.06;7.98;13.2;5.8
Haricots verts, purée;56.3;1.7;4.2;2.9;3.3
Légumes (3-4 sortes en mélange), purée;61.2;1.94;4.25;3.4;3.3
Brocoli, purée;29;2.5;2.75;0.38;2.39
Tomate, coulis, appertisé (purée de tomates mi-réduite à 11%);45.5;2.05;7.57;0.2;2.6
Carotte, purée;30.1;0.88;5.06;0;3.1
Poêlée de légumes assaisonnés sans champignon, surgelée, crue;50.4;2.6;5;1.5;3.6
Légumes pour potages, surgelés, crus;33.9;1.33;5.83;0;2.67
Courgette, purée;57.3;2.8;6.5;1.9;1.5
Julienne ou brunoise de légumes, surgelée, crue;27.9;1.19;4.08;0.25;2.28
Légumes pour ratatouille, surgelés;21;1.01;3.23;0.09;1.67
Printanière ou jardinière de légumes, surgelée, crue (petits pois, pommes de terre, haricots verts, carottes, oignon);51.3;2.4;8.48;0.08;3.62
Tomate, double concentré, appertisé;99.5;3.75;19.3;0.47;1.5
Haricot plat, cru;32.4;1.93;4.47;0.12;2.97
Épinard, jeunes pousses pour salades, cru;17;2.06;0;0.4;2.4
Macédoine de légumes, précuite, à finir de cuire, surgelée;62.4;4;7.5;0.5;6
Mesclun ou salade, mélange de jeunes pousses;22;2;2.5;0;2
Poêlée de légumes assaisonnés à l'asiatiques ou wok de légumes, surgelée, crue;73.5;1.75;4;5;2.75
Poêlée de légumes assaisonnés grillée, méridionale ou méditerranéenne, surgelée, crue;48;1.61;4.33;1.77;4.14
Poivron rouge, appertisé, égoutté;26.3;0.96;4.5;0.2;1.35
Tomate ronde, crue;17.5;0.5;3.42;0;1
Asperge blanche, bouillie/cuite à l'eau;17.3;1.44;1.63;0.3;1.3
Céleri-rave, purée;26.2;1.37;2.83;0.18;4.01
Asperge, verte, crue;24.7;2.46;2.03;0.27;2.15
Chou romanesco ou brocoli à pomme, cru;29.7;2.95;2.2;0.3;3.2
Asperge, blanche ou violette, pelée, crue;21;2.2;1.62;0.12;2.1
Salicorne (Salicornia sp.), crue;13.1;1.02;0.98;0.17;1.79
Petits pois, purée;86;4.8;8;2.8;4.8
Salade sucrine, crue;16.6;1.13;2.58;0;0.8
Tomate, chair et peau, rôtie/cuite au four;24;1;3.53;0.4;1.9
Chou romanesco ou brocoli à pomme, cuit;34.5;3;2.03;0.8;4.3
Potimarron, chair sans peau, cuit à l'étouffée;44.2;1.31;7.05;0.5;3.3
Courge butternut (doubeurre), chair sans peau, cuite;28.9;1.06;5.24;0;1.8
Haricot coco, bouilli/cuit à l'eau;130;9.63;13.7;0.5;15.8
Salade feuille de chêne, crue;10.7;1.13;1.03;0;1.8
Brèdes chou de Chine ou bok choy ou pak choï, tiges et feuilles, cuites à la vapeur, prélevées à La Réunion (Brassica rapa subsp. Chinensis);16.4;1.69;1.7;0;1.3
Chayote ou christophine ou chouchou, chair sans peau, sans noyau, cuite à la vapeur, prélevée à La Réunion (Sechium edule);20.9;0.63;3.5;0;1.4
Carotte, purée cuisinée à la crème, préemballée;43.7;1.44;4.57;1.6;3
Asperge verte, bouillie/cuite à l'eau;25.3;2.69;1.73;0.3;2.2
Aubergine, chair et peau, rôtie/cuite au four;31.1;1.31;3.83;0;1.9
Bette ou blette, côte et feuille, bouillie/cuite à l'eau;15.6;0.88;1.43;0.3;2.5
Brocoli, bouilli/cuit à l'eau, croquant;22.2;2.5;1.23;0.4;2.6
Brocoli, bouilli/cuit à l'eau, fondant;21.8;2.19;1.03;0.5;3
Brocoli, cuit à la vapeur;38;4.13;2.53;0.7;2.2
Carotte, bouillie/cuite à l'eau, croquante;33.1;0.75;6.33;0;3.2
Carotte, bouillie/cuite à l'eau, fondante;29.6;0.25;5.73;0;3.3
Carotte, cuite à la vapeur;40.3;0.63;7.33;0.3;3.7
Chou blanc, bouilli/cuit à l'eau;20.8;1;3.23;0;2.7
Chou de Bruxelles, bouilli/cuit à l'eau;44.4;3.19;5.4;0;4.8
Chou rouge, cuit à l'étouffée;33.9;1.19;5.7;0;3
Chou vert, bouilli/cuit à l'eau;19;1.63;1.83;0;3.3
Chou-fleur, cuit à la vapeur;30.5;2.56;3.41;0.3;1.8
Courgette, chair et peau, rôtie/cuite au four;20.3;1.5;3.13;0;1.7
Céleri branche, cuit à l'étouffée;14.7;0.75;2.48;0;1.5
Céleri rave, bouilli/cuit à l'eau;26.2;0.94;4.32;0.3;2.6
Endive, rôtie/cuite au four;22;1.13;4.38;0;0
Fenouil, cuit à l'étouffée;11.8;0.25;1.94;0;1.8
Haricot beurre, bouilli/cuit à l'eau;35;2.19;4.45;0.3;2.7
Haricot vert, bouilli/cuit à l'eau;27;1.75;3.39;0;3.2
Navet, bouilli/cuit à l'eau;18.4;0.75;3.23;0;2.1
Oignon blanc ou jaune, sauté/poêlé sans matière grasse;39.2;1.56;6.73;0;2.8
Oignon nouveau ou oignon frais ou cébette, sauté/poêlé sans matière grasse;28;1.13;3.56;0.3;3.1
Oignon rouge, sauté/poêlé;41.5;1.69;7.55;0;2.1
Panais, cuit à l'étouffée;91.2;1.94;16.6;0.5;5.6
Petits pois, bouillis/cuits à l'eau;80.7;6.38;9.93;0.6;4.8
Poireau, bouilli/cuit à l'eau;24.7;2.56;2.23;0;3.4
Poivron jaune, sauté/poêlé;34.5;1;5.33;0.6;2.2
Poivron rouge, sauté/poêlé;33;0.94;6.53;0;2
Poivron vert, sauté/poêlé;27.3;1.25;3.53;0.3;3
Potimarron, chair sans peau, bouilli/cuit à l'eau;38.6;1.06;6.88;0.3;1.8
Potiron, rôti/cuit au four;28.2;0.25;5.66;0;2
Salsifis, bouilli/cuit à l'eau;56.9;2.63;9.29;0;4.5
Échalote, sautée/poêlée sans matière grasse;67.3;2;12.3;0.4;2.9
Épinard, bouilli/cuit à l'eau;26.8;3.38;0;0.7;3.5
Saucisse végétale au tofu (convient aux véganes ou végétaliens), préemballée;228;13.4;5.69;16.3;0
Quenelle au tofu (ne convient pas aux véganes ou végétaliens), préemballée;133;11;4.97;7.2;0
Chou chinois pak choï ou pak choy (feuilles vertes ressemblant à des blettes), cuit;12.8;1.56;0.78;0.16;1
Chou chinois pak choï ou pak choy (feuilles vertes ressemblant à des blettes), cru;14.6;1.5;1.2;0.2;1
Tomate marmande, crue;11.24;0;2.81;0;0
Tomate noire de Crimée, crue;12.32;0;3.08;0;0
Tomate allongée, crue;18.8;0;3.29;0;2.1
Chou kale, cru;34.6;2.92;0.32;1.49;4.1
Moringa, gousse, cru;37.92;2.1;5.33;0.2;3.2
Moringa, feuille, cru;79.32;9.4;6.28;1.4;2
Asperge, bouillie/cuite à l'eau (aliment moyen);20.7;1.97;1.67;0.3;1.69
Brocoli, bouilli/cuit à l'eau (aliment moyen);21.8;2.19;1.03;0.5;3
Brocoli, cuit (aliment moyen);30;3.17;1.79;0.6;2.59
Carotte, bouillie/cuite à l'eau (aliment moyen);29.6;0.25;5.73;0;3.3
Carotte, cuite (aliment moyen);33;0.37;6.24;0.2;3.43
Céleri branche, cuit (aliment moyen);13.1;0.63;1.38;0.15;2
Chou rouge, cuit (aliment moyen);31.8;1.26;5.13;0.14;2.9
Fenouil, cuit (aliment moyen);11.8;0.36;1.8;0;1.83
Potimarron, chair sans peau, cuit (aliment moyen);38.6;1.06;6.88;0.3;1.8
Tomate, chair et peau, cuite (aliment moyen);19.8;0.97;3.06;0.21;1.13
Lentille, sèche (aliment moyen);327;25.1;44.5;1.8;16.3
Lentille, bouillie/cuite à l'eau (aliment moyen);125;10.1;16.2;0.57;8.45
Tomate sans précision, crue (aliment moyen);19.2;0.6;3.69;0;1.02
Légumes pour couscous, surgelés, crus;44.3;1.93;6.47;0.63;2.53
Légumes pour couscous, cuits;29.6;1.58;3.87;0.42;2.33
Poêlée de légumes assaisonnés aux champignons ("champêtre"), surgelée;31.5;1.5;4;0.5;2.5
Légume cuit (aliment moyen);28.7;1.68;3.67;0.3;2.6
Fève, bouillie/cuite à l'eau;83.3;8.06;9.35;0.8;3.1
Haricot blanc, sec;307;23.4;43.9;0.85;15.2
Haricot blanc, bouilli/cuit à l'eau;112;6.75;12;1.1;13.8
Haricot rouge, bouilli/cuit à l'eau;116;9.63;12.3;0.6;11.6
Pois cassé, bouilli/cuit à l'eau;129;8.6;16.3;1.49;7.95
Pois chiche, bouilli/cuit à l'eau;148;8.31;17.7;3;8.2
Haricot flageolet, appertisé, égoutté;92.9;6.1;12.2;0.79;6.3
Lentille, cuisinée, appertisée, égouttée;90.4;6.83;12.3;0.64;4
Haricot blanc, appertisé, égoutté;85.5;5.88;10.9;0.5;7
Haricot flageolet, bouilli/cuit à l'eau;112;6.75;12;1.1;13.8
Pois cassé, sec;347;23.8;47.5;1.16;25.5
Pois chiche, sec;350;20.5;47.5;6.04;12.2
Fève à écosser, fraîche, crue;61.5;6.76;4.2;0.67;5.85
Fève, sèche;301;26.1;33.3;1.53;25
Graine germée de lentille, fraîche, crue;123;8.96;19;0.55;3.1
Haricot rouge, appertisé, égoutté;108;8.31;13;0.97;7
Haricot rouge, sec;314;22.5;46.1;1.06;15.2
Pois d'Angole vert, frais, cru;129;7.2;18.8;1.64;5.1
Haricot de Lima ou pois savon ou pois du Cap ou pois souche, cru;105;6.84;15.3;0.86;4.9
Haricot mungo, sec;343;25.2;47.6;1.64;18.3
Haricot mungo, frais, bouilli/cuit à l'eau;95.7;7.54;11.9;0.55;6.4
Pois chiche, appertisé, égoutté;122;6.74;15;2.68;5.45
Lupin, graine, sec;356;36.2;21.5;9.74;18.9
Lentille corail, sèche;328;27.7;44.9;0.8;15.4
Haricot flageolet, frais, surgelé, cru;153;9.32;25.6;0.52;4.4
Haricot flageolet, vert, sec;315;19.1;42.1;2.6;23.4
Haricot flageolet, vert, bouilli/cuit à l'eau;115;8.5;13;0.91;10.2
Fève, pelée, fraîche, surgelée, crue;99.3;9.55;12.2;0.26;5.05
Fève, pelée, fraîche, surgelée, bouillie/cuite à l'eau;71.9;6.4;9;0.5;2.9
Fève, fraîche, surgelée, bouillie/cuite à l'eau;63.6;5.6;7.4;0;5.8
Tomate grappe, crue;19.8;0.5;3.67;0;1.5
Lentille verte, sèche;327;25.1;44.5;1.8;16.4
Lentille blonde, sèche;339;26.1;48.3;1.9;12.1
Lentille verte, bouillie/cuite à l'eau;125;10.1;16.2;0.58;8.45
Lentille blonde, bouillie/cuite à l'eau;122;9.7;16.3;0.7;6
Lentille corail, bouillie/cuite à l'eau;123;10.6;15;0.5;8.2
Crosne, cuit;49;2.13;9.11;0;1.9
Protéine de soja texturée, réhydratée;150;18.6;7.03;2.9;5.61
Légume sec, cuit (aliment moyen);113;8.22;13.8;0.78;9.52
Banane jaune, chair sans peau, cuite à la vapeur, prélevée à la Martinique;4.75;1.06;0;0.06;0
Chips de chair de giraumon (variété locale), prélevé à la Martinique;66;0;12.3;0;8.4
Chips de chair de giraumon (variété phoenix), prélevé à la Martinique;73;0;13.9;0;8.7
Chou dur ou chou caraïbe ou macabo, pulpe, cuit à la vapeur, prélevé à la Martinique;13.03;3.25;0;0;0
Chayote ou christophine ou chouchou à peau blanche, chair sans peau, sans noyau, cuite à la vapeur, prélevée à la Martinique;32.66;1.21;5.93;0.03;1.9
Chayote ou christophine ou chouchou à peau verte, chair sans peau, sans noyau, cuite à la vapeur, prélevée à la Martinique;29.53;1.23;4.6;0.02;3
Chayote ou christophine ou chouchou à peau blanche, chaire sans peau, sans noyau, appertisée, non égouttée, prélevée à la Martinique;2;0;0;0;1
Chayote ou christophine ou chouchou, chair et peau, sans noyau, cuite à la vapeur, surgelée, prélevée à la Martinique;3.2;0;0;0;1.6
Concombre, chair sans peau, avec pépins, cru, prélevé à la Martinique;8.14;0.73;0;0.58;0
Concombre, chair et peau, cru, prélevé à la Martinique;4.11;0.42;0;0.27;0
Cresson, feuille, cru, prélevé à la Martinique;14.1;2.25;0;0.1;2.1
Dachine, pulpe, cuit à la vapeur, prélevé à la Martinique;7.3;1.15;0;0.3;0
Farine de pulpe de patate douce, prélevée à la Martinique;223;0;50.1;0;11.3
Fruit à pain, chair sans peau, cuit à la vapeur, prélevé à la Martinique;90.15;1.29;21;0.11;0
Giraumon (variété locale), chair sans peau, cuit à la vapeur, prélevé à la Martinique;27.31;1.1;4.51;0.1;2
Giraumon (variété locale), chair sans peau, cuit à la vapeur, surgelé, prélevé à la Martinique;19.8;0;3.75;0;2.4
Giraumon (variété locale), chair sans peau, râpé, cru, prélevé à la Martinique;15.48;0;2.42;0;2.9
Giraumon (variété phoenix), chair sans peau, cuit à la vapeur, prélevé à la Martinique;31.05;1.03;5.62;0.05;2
Giraumon (variété phoenix), chair sans peau, râpé, cru, prélevé à la Martinique;17.24;0;3.51;0;1.6
Giraumon (variété phoenix), chair sans peau, surgelé, cuit à la vapeur, prélevé à la Martinique;22.28;0;4.37;0;2.4
Gombo, entier, appertisé, non égoutté, prélevé à la Martinique;5.6;0;0;0;2.8
Gombo, entier, cuit à la vapeur, prélevé à la Martinique;38.26;1.8;4.69;0.3;4.8
Gombo, sans pédoncule, blanchi, surgelé, prélevé à la Martinique;33.32;0.24;5.28;0.1;5.17
Igname cousse-couche, pulpe, cuit à la vapeur, prélevé à la Martinique;88.9;1.65;17.9;0.3;3.9
Igname jaune, pulpe, cuit à la vapeur, prélevé à la Martinique;127;2.04;27.6;0.37;2.67
Igname saint martin, pulpe, cuit à la vapeur, prélevé à la Martinique;93.3;2.25;18.4;0.3;3.9
Topinambour, pulpe, cuit à la vapeur, prélevé à la Martinique;6.54;1.23;0;0.18;0
Kamanioc, pulpe, cuit à la vapeur, prélevé à la Martinique;2.4;0.6;0;0;0
Massissi, chair, cru, prélevé à la Martinique;17.52;2.58;0;0.8;0
Papaye verte, chair sans peau, crue, prélevée à la Martinique;2.71;0.67;0;0;0
Papaye verte, chair sans peau, cuite à la vapeur, prélevée à la Martinique;2.52;0.63;0;0;0
Patate douce, pulpe, blanchie, surgelée, prélevée à la Martinique;9.8;0;0;0;4.9
Patate douce, pulpe, cuite à la vapeur, prélevée à la Martinique;126;1.48;25.2;0.07;9.2
Pois d'Angole, entier, cuit à la vapeur, prélevé à la Martinique;116.26;16.3;11.1;0.74;0
Ti nain, chair sans peau, cuit à la vapeur, prélevé à la Martinique;4.97;1.13;0;0.05;0
Tomate, entière, crue, prélevée à la Martinique;4.78;1.06;0;0.06;0
Soja, graine entière;441;36.5;20.9;19.9;9.3
Isolat de soja;402;80.5;1.76;3.39;5.6
Tofu nature, préemballé;147;13.4;2.87;8.5;0
Tofu soyeux, préemballé;54.3;4.57;1.53;2.9;0.6
Dessert au soja, aromatisé, sucré, enrichi en calcium, rayon frais;95;3.25;15.3;1.9;1.1
Tofu fumé, préemballé;164;14.9;2.91;9.5;0
Galette ou pavé au soja;252;15.5;8.5;14.7;8.8
Farine de soja complète;457;34.5;25.7;20.7;9.6
Miso;188;11.7;18.1;6.01;5.4
Tempeh;157;16.1;7.89;4.7;6.2
Sirop pour fruits appertisés au sirop;73;0.25;17.7;0;0
Sirop léger pour fruits appertisés au sirop;58.9;0.34;14.3;0;0
Dessert au soja, aromatisé, sucré, non enrichi, rayon frais;93.1;2.74;16;1.7;0.8
Dessert végétal sans soja (amande, avoine, chanvre, coco, riz), aromatisé, sucré, non enrichi, rayon frais;148;1.66;15.8;8;2.1
Dessert végétal sans soja (coco, riz), aux fruits, sucré, enrichi en calcium, fermenté, rayon frais;75.1;0.21;16;1;0
Sirop léger pour poire appertisée;57.9;0.25;14.6;0;0
Dessert au soja, aromatisé, sucré, enrichi en calcium et vitamine D, rayon frais;95.6;2.96;15.3;2.05;1.45
Dessert au soja, aux fruits, sucré, enrichi en calcium et vitamine D, fermenté, rayon frais;85.1;2.76;13.8;1.68;1.31
Dessert végétal sans soja (amande, avoine, chanvre, coco, riz), nature, sans sucres ajoutés, non enrichi, rayon frais;150;1.2;6.7;13;0
Dessert végétal sans soja, rayon frais (aliment moyen);148;1.66;15.8;8;2.1
Dessert au soja, rayon frais (aliment moyen);67.2;3.38;8.19;1.8;0.93
Spiruline (algue), fraîche, crue;36.1;5.92;2.02;0.39;0.4
Criste marine, fraîche, crue;39.4;2.57;3.43;0.66;4.72
Laitue de mer (Ulva sp.), séchée ou déshydratée;203;15.7;13.8;1.95;33.5
Kombu royal (Saccharina latissima), séché ou déshydraté;205;9.94;23.1;1.39;30.2
Nori (Porphyra sp., Pyropia), séchée ou déshydratée;257;30.2;11.7;1.77;36.8
Dulse (Palmaria palmata), séchée ou déshydratée;221;16.9;20.8;1.35;29.2
Maërl ou lithothamne (Lithothamnion), séché ou déshydraté;24.04;2.49;3.52;0;0
Kombu ou kombu japonais (Saccharina japonica), séché ou déshydraté;222;7.89;24.9;2.56;34.1
Kombu breton (Laminaria digitata), séché ou déshydraté;211;8.89;22.9;1.01;37.3
Haricot de mer (Himanthalia elongata), séchée ou déshydratée;227;9.9;26.4;2.28;30.8
Gracilaire ou ogonori (Gracilaria verrucosa), séchée ou déshydratée;232;17.8;23.4;1.75;25.4
Fucus vésiculeux (Fucus serratus ou Fucus vesiculosus), séché ou déshydraté;194;9.11;12.4;1.71;46.3
Ao-nori (Ulva sp., ex Enteromorpha sp.), séchée ou déshydratée;225;13.6;19.5;2.5;35.1
Lichen de mer ou pioca ou goémon rouge (Chondrus crispus), séché ou déshydraté;215;16.7;15;1.95;35.5
Chlorelle (chlorella), séchée ou déshydratée;420.2;48.5;30.9;11.4;0
Ascophylle noueux ou goémon noir (Ascophyllum nodosum), séché ou déshydraté;206;7.4;16.3;2.7;43.6
Wakamé atlantique (Alaria esculenta), séché ou déshydraté;201;12.2;13.3;1.5;42.9
Mouton, viande crue;137;20.6;0;6.11;0
Mouton, épaule crue;228;17.3;0.1;17.6;0
Mouton, pied cru;204;18.1;0;14.6;0
Mouton, tête crue;204;18.1;0;14.6;0
Mouton, gigot cru;225;18;0;17;0
Mouton, gigot rôti/cuit au four;126;0;0;14;0
Agneau, côtelette crue;333;15.4;0;30.1;0
Agneau, côtelette grillée/poêlée;240;25.7;0;15.2;0
Agneau, gigot cru;128;20;0.48;5.13;0
Agneau, gigot rôti/cuit au four;169;26.8;0;6.85;0
Agneau, épaule crue;170;18.3;0.45;10.6;0
Agneau, épaule maigre crue;139;19.6;0;6.76;0
Agneau, épaule rôtie/cuite au four;252;30.5;0;14.5;0
Agneau, épaule maigre rôtie/cuite au four;197;24.9;0;10.8;0
Agneau, collier braisé ou bouilli;365;33.6;0;25.6;0
Agneau, côte filet grillée/poêlée;157;26.3;0;5.78;0
Agneau, côte première grillée/poêlée;185;26.1;0;9.01;0
Agneau, selle, partie maigre rôtie/cuite au four;153;26.1;0;5.45;0
Agneau, collier cru;195;18;0;13.7;0
Agneau, selle crue;236;17.5;0;18.4;0
Agneau, côte filet crue;232;17.6;0;18;0
Agneau, côte première crue;276;16.9;0;23.1;0
Agneau, gigot grillé/poêlé;174;27.6;0;7.08;0
Agneau, gigot braisé;222;35.2;0;9.03;0
Agneau, selle, partie maigre grillée/poêlée;153;26.1;0;5.45;0
Agneau, côte ou côtelette, crue (aliment moyen);262;16.6;0.35;21.5;0
Agneau, côte ou côtelette, cuite (aliment moyen);157;26.3;0;5.78;0
Agneau, viande, cuite (aliment moyen);193;28.5;0;8.78;0
Agneau, côte ou côtelette, grillée/poêlée (aliment moyen);157;26.3;0;5.78;0
Agneau, côte découverte crue;205;16.3;1.38;15;0
Chevreau, viande crue;103;20.6;0;2.31;0
Chevreau, viande cuite;136;27.1;0;3.03;0
Oeuf cru;140;12.8;0.06;9.83;0
Oeuf, blanc (blanc d'oeuf), cru;48.1;10.9;0.73;0.17;0
Oeuf, jaune (jaune d'oeuf), cru;307;15.5;1.09;26.7;0
Oeuf, jaune (jaune d'oeuf), en poudre;667;33.7;2.11;58.1;0
Oeuf, blanc (blanc d'oeuf), en poudre;356;81.1;7.8;0;0
Oeuf, blanc (blanc d'oeuf), cuit;47.3;10.3;1.12;0.17;0
Oeuf, jaune (jaune d'oeuf), cuit;340;16;1.31;30.1;0
Oeuf dur;134;13.5;0.52;8.62;0
Oeuf poché;139;12.5;0.89;9.47;0
Oeuf, en poudre;587;48.4;1.52;43;0
Oeuf à la coque;142;12.2;1.08;9.82;0
Oeuf de caille, cru;154;13.1;0.41;11.1;0
Oeuf de cane, cru;181;12.8;1.45;13.8;0
Oeuf d'oie, cru;180;13.9;1.35;13.3;0
Oeuf de dinde, cru;166;13.7;1.13;11.9;0
Omelette nature, faite maison;196;13.8;0.9;15.3;0
Oeuf brouillé, avec matière grasse;167;11.9;0.44;13;0
Oeuf au plat, sans matière grasse;157;14.6;1.4;10.4;0
Omelette au fromage, faite maison;255;17.7;2.56;19.3;0
Omelette aux lardons, faite maison;267;12.5;1.46;23.5;0
Omelette aux champignons, faite maison;125;8.09;2.28;9.2;0.45
Omelette à la ciboulette, faite maison;147;9.5;1.98;11.2;0.55
Tortilla espagnole aux oignons (omelette aux pommes de terre et oignons), préemballée;165;5.56;11.7;9.9;2.7
Omelette, garnitures diverses : légumes, fromages, viandes... (aliment moyen);179;9.61;4.83;13.2;0.96
Gâteau (aliment moyen);410;5.49;51.8;19.6;2.38
Cheesecake, préemballé;337;5.44;34.1;19.7;0.7
Gâteau Paris-Brest (pâte à choux crème mousseline praliné);327;5.42;29.1;20.5;1.1
Forêt noire, pâtisserie type génoise au chocolat et crème multi-couches, avec ou sans cerises;317;3.66;39.1;14.8;1.85
Gâteau mousse de fruits sur génoise, type miroir, bavarois;265;2.79;30.8;14.5;0
Entremets type Opéra;392;5.19;37.6;24;2.3
Fraisier ou framboisier;221;2.6;25;12;1.5
Baba au rhum, artisanal;244.9;2.25;36.3;9.9;0.8
Canelé;298;5;61;3.2;2.6
Kouign amann, préemballé;489;3.64;53.2;28.8;1.45
Macaron moelleux fourré à la confiture ou à la crème;448;11;56.5;19;2.9
Macaron sec;436;6.9;77.7;10.2;3
Bûche de Noël pâtissière;363;4.25;39.8;20.4;1
Brownie au chocolat et aux fruits à coques, préemballé;466;6.58;45.9;27.7;3.18
Brownie au chocolat, préemballé;458;5.94;50.6;25.4;3.4
Rocher coco ou congolais (petit gâteau à la noix de coco), préemballé;459;3.98;56.1;23;5.62
Biscuit de Savoie;260;5.9;56.3;0.8;1.5
Quatre-quarts (beurre, oeufs, sucre, farine), artisanal;440;5.94;46;25.6;1.1
Quatre-quarts (beurre, oeufs, sucre, farine), préemballé;434;5.94;48.2;23.9;1.1
Barre pâtissière, préemballée;378;5.38;54.7;14.9;1.4
Gâteau moelleux au citron, préemballé;411;6.81;49.6;20.4;1
Gâteau breton fourré à la crème de pruneaux, préemballé;453;5.17;59.3;21.3;1.5
Far breton aux pruneaux;229;5.13;32;8;3.4
Kouign Amann, artisanal;449;5.81;48.7;25.1;2.2
Pain d'épices, préemballé;318;3.14;71.8;1.15;3.78
Pain d'épices fourré aux fruits ou nonnette, préemballé;338;3.85;75;2.15;1.74
Baklava ou baklawa (pâtisserie orientale aux amandes et sirop);459;10.4;49.2;24.5;0
Corne de gazelle (pâtisserie orientale aux amandes en forme de croissant recouverte de sucre glace);474;8.55;60.2;22.1;0
Pâte brisée, préemballée, cuite (aliment moyen);473;7.47;46.4;26.4;8.5
Pâte à pizza fine, préemballée, crue;285;7.57;47.4;6.6;1.6
Pâte brisée, matière grasse végétale, préemballée, crue;392;5.17;42.7;21.7;1.67
Pâte brisée, matière grasse végétale, préemballée, cuite;473;7.47;46.4;26.4;8.5
Pâte brisée, pur beurre, préemballée, crue;390;5.93;45;20;2
Pâte brisée, pur beurre, surgelée, préemballée, crue;387;5.65;43.3;20.7;1.6
Pâte brisée, pur beurre, préemballée, cuite;497;7.58;61.1;23.9;1.7
Pâte feuilletée, matière grasse végétale, crue;385;5.75;41;21.4;1.5
Pâte feuilletée, pur beurre, préemballée, crue;370;5.47;40;20;3
Pâte feuilletée, pur beurre, surgelée, préemballée, crue;398;4.99;35.3;25.8;1.4
Pâte feuilletée, pur beurre, préemballée, cuite;560;5.73;42;40.5;1.2
Feuille de brick ou khatfa, préemballée, cuite à sec sans matière grasse;277;6.16;57.1;1.76;3
Pâte sablée, préemballée, crue;419;5.31;50;21.8;0.95
Pâte sablée, préemballée, cuite;504;5.7;64.3;24.6;1.5
Pâte sablée, pur beurre, préemballée, crue;383;5.95;53.6;15.8;1.65
Pâte phyllo ou pâte filo, crue;289;7.1;50.7;6;1.9
Pâte sablée, pur beurre, surgelée, préemballée, crue;423;4.9;60.9;17.5;1.2
Pâte sablée, pur beurre, préemballée, cuite;469;6.2;63;20.9;1.9
Chou à la crème, sans précision (chantilly ou pâtissière);325;4.5;25.1;22.9;0
Chou à la crème chantilly, Saint-honoré;337;4.63;22.9;25;1
