alim_nom_fr;Energie (kcal/100 g);Protéines (g/100 g);Glucides (g/100 g);Lipides (g/100 g);Fibres (g/100 g)
Pain de mie blanc sans gluten, préemballé;242;3.36;41.2;5.1;7.4
Pain de mie blanc, sans sucres ajoutés, préemballé;290;7.01;48.1;5.9;4
Pain de seigle et froment;260;8.27;51.5;1;4.5
Pain sans gluten, préemballé;249;4.58;37.1;6.6;9.9
Pain blanc, sans sel ajouté;282;8.7;57;1.17;2.68
Pain panini;254;7.48;50.6;1.1;4.2
Pain pita;249;7.48;48.8;1.5;3.7
Pain de mie blanc, préemballé;279;7.06;50.4;4.37;2.83
Pain de mie blanc, sans croûte, préemballé;266;6.93;50.2;3.23;2.89
Pain de mie brioché, préemballé;312;7.78;51.4;7.26;3.03
Pain brioché ou viennois, artisanal;338;8.89;48.6;11.2;1.9
Pain aux céréales et/ou graines;269;9.58;46.9;3.2;5.2
Muffin anglais complet, petit pain spécial, préemballé;205;10.9;31;1.7;8.1
Muffin anglais, petit pain spécial, préemballé;228;9.06;42.5;1.1;3.8
Pain bagel;301;9.83;53;4.58;2.7
Pain pour burger ou hot dog (bun), préemballé;283;8.21;47.2;4.9;3.5
Pain blanc, fait maison (avec farine pour machine à pain);256;7.81;52.1;0.9;2.6
Pain de campagne, fait maison (avec farine pour machine à pain);240;7.98;46.7;0.9;5.1
Pain pour burger ou hot dog (bun) complet, préemballé;296;8.56;48.2;6.16;5.18
Bretzel, pain frais;330;9.18;54.6;7.1;3.8
Biscotte classique;394;10;73.2;5.43;4.32
Biscotte briochée;440;8.61;72.1;11.3;5.7
Biscotte au germe de blé;386;10.1;69.9;5.4;6.6
Biscotte, sans sel ajouté;402;10.6;74.7;5.1;5.6
Biscotte aux céréales;404;11.5;68.1;7.3;7.6
Biscotte au blé complet;389;11.3;66;5.9;11
Cracker de table aux graines;445;14.3;49.9;17.7;11.6
Cracker de table au fromage et aux graines;455;17.9;47.3;18.5;10.4
Cracker de table au blé complet;436;12.6;55.6;15.4;10.1
Cracker de table au froment;442;10.4;68.6;12.3;4.1
Galette de riz complet soufflé;381;8.39;77.9;3;3.4
Galette de céréales soufflées;388;10.1;77.9;2.9;3.7
Galette de maïs soufflé;387;7.02;83.5;1.9;3
Galette de riz soufflé, nappée de chocolat;494;7.32;60.7;23.2;5.1
Galette de maïs soufflé, nappée de chocolat;481;7.3;63.2;20.8;5.05
Galette de céréale(s) soufflée(s), aux graines;382;8.53;77.7;3.88;4.63
